City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Guerrero Negro,MX,67.8,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
4,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
5,Sinnamary,GF,80.83,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
6,Vanderhoof,CA,63.48,few clouds,54.0166,-124.0198,Vanderhoof Inn
7,Rikitea,PF,75.85,clear sky,-23.1203,-134.9692,People ThankYou
8,Hermanus,ZA,60.31,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
10,East London,ZA,61.32,clear sky,-33.0153,27.9116,Tu Casa
12,Atuona,PF,77.34,light rain,-9.8,-139.0333,Villa Enata
13,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Kijang,KR,64.13,clear sky,35.2442,129.2139,Samyang Beach Villa
17,San Vicente,AR,66.0,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
18,Emmett,US,65.57,clear sky,43.8735,-116.4993,Holiday Motel & R.V Park
20,Torbay,CA,62.28,overcast clouds,47.6666,-52.7314,Gallows Cove
23,Mana,GF,79.05,light rain,5.6592,-53.7767,LE SAMANA
24,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
25,Acarau,BR,82.15,scattered clouds,-2.8856,-40.12,castelo pizzaria
26,Jinchang,CN,64.35,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
28,Mbaiki,CF,71.91,moderate rain,3.8678,17.9892,Motel MBM
29,Busselton,AU,61.27,broken clouds,-33.65,115.3333,Observatory Guest House
31,Thompson,CA,62.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
33,Marawi,PH,69.49,overcast clouds,7.9986,124.2928,Derogongan Residence
36,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
37,Mocuba,MZ,68.72,overcast clouds,-16.8392,36.9856,Phama Lodge
38,Saint-Francois,FR,76.44,few clouds,46.4154,3.9054,Manoir Du Bonheur
39,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
41,Qui Nhon,VN,79.05,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
42,Lambarene,GA,76.68,overcast clouds,-0.7001,10.2406,Le Refuge
43,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
47,Changping,CN,69.44,overcast clouds,40.2186,116.2197,Huachang Hotel
48,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
49,Port Alfred,ZA,60.37,broken clouds,-33.5906,26.891,The Halyards Hotel
50,Hambantota,LK,79.43,broken clouds,6.1241,81.1185,Bungalow 63
51,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
52,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
53,Piacabucu,BR,79.68,clear sky,-10.4056,-36.4344,Piaçabuçu News
54,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
56,Gold Coast,AU,62.91,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
57,Longkou,CN,66.02,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
60,Cayenne,GF,81.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
61,Durazno,UY,64.47,few clouds,-33.4131,-56.5006,Hotel Santa Cristina
62,Pisco,PE,66.25,mist,-13.7,-76.2167,Hotel San Isidro Oficial
67,Sabzevar,IR,66.22,few clouds,36.2126,57.6819,پزشکی قانونی سبزوار
68,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
71,Bandarbeyla,SO,80.69,scattered clouds,9.4942,50.8122,JABIR HOTEL
72,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Huanuco,PE,74.41,scattered clouds,-9.9329,-76.2415,Hostal Miraflores
77,Pangoa,PE,80.65,broken clouds,-12.1167,-73.0,
78,Lorengau,PG,82.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Vila Franca Do Campo,PT,64.81,light rain,37.7167,-25.4333,Pestana Bahia Praia
80,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
81,Celestun,MX,89.06,broken clouds,20.8667,-90.4,Posada Lilia
82,Banda Aceh,ID,81.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
84,Lucapa,AO,76.44,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
