,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,27.9769,-114.0611,67.8,57,0,14.58,clear sky
1,Bluff,NZ,-46.6,168.3333,50.31,73,100,24.79,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,25.36,77,100,2.71,overcast clouds
3,Kamaishi,JP,39.2667,141.8833,53.06,88,100,4.83,overcast clouds
4,Vaini,TO,-21.2,-175.2,75.36,94,40,4.61,scattered clouds
5,Sinnamary,GF,5.3833,-52.95,80.83,80,94,6.42,overcast clouds
6,Vanderhoof,CA,54.0166,-124.0198,63.48,27,13,7.56,few clouds
7,Rikitea,PF,-23.1203,-134.9692,75.85,76,2,13.69,clear sky
8,Hermanus,ZA,-34.4187,19.2345,60.31,85,69,7.63,broken clouds
9,Kozienice,PL,51.5829,21.5478,54.01,39,100,7.07,overcast clouds
10,East London,ZA,-33.0153,27.9116,61.32,83,0,3.67,clear sky
11,Adrar,MR,20.5022,-10.0711,98.73,10,94,8.23,overcast clouds
12,Atuona,PF,-9.8,-139.0333,77.34,81,31,17.4,light rain
13,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,38,11.23,scattered clouds
14,Kijang,KR,35.2442,129.2139,64.13,73,2,5.01,clear sky
15,Hobart,AU,-42.8794,147.3294,50.25,85,100,11.5,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,44.33,91,100,7.65,overcast clouds
17,San Vicente,AR,-26.6167,-54.1333,66.0,46,100,2.57,overcast clouds
18,Emmett,US,43.8735,-116.4993,65.57,30,6,1.99,clear sky
19,Ushuaia,AR,-54.8,-68.3,40.62,81,20,5.75,few clouds
20,Torbay,CA,47.6666,-52.7314,62.28,39,89,11.92,overcast clouds
21,Saskylakh,RU,71.9167,114.0833,33.96,99,100,6.42,light snow
22,Kununurra,AU,-15.7667,128.7333,58.98,82,93,0.0,overcast clouds
23,Mana,GF,5.6592,-53.7767,79.05,86,92,4.32,light rain
24,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
25,Acarau,BR,-2.8856,-40.12,82.15,78,33,7.43,scattered clouds
26,Jinchang,CN,38.4953,102.1739,64.35,42,10,8.23,clear sky
27,Te Anau,NZ,-45.4167,167.7167,36.86,91,14,0.67,few clouds
28,Mbaiki,CF,3.8678,17.9892,71.91,92,87,3.6,moderate rain
29,Busselton,AU,-33.65,115.3333,61.27,67,65,23.49,broken clouds
30,Lebu,CL,-37.6167,-73.65,52.27,87,100,11.05,overcast clouds
31,Thompson,CA,55.7435,-97.8558,62.76,23,75,11.5,broken clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,29.68,65,30,8.75,scattered clouds
33,Marawi,PH,7.9986,124.2928,69.49,94,100,3.87,overcast clouds
34,Sterling,US,39.0062,-77.4286,93.25,56,75,6.91,broken clouds
35,Umba,RU,66.6871,34.3429,34.66,70,30,5.73,scattered clouds
36,Olinda,BR,-8.0089,-34.8553,82.13,74,75,20.71,broken clouds
37,Mocuba,MZ,-16.8392,36.9856,68.72,86,95,2.71,overcast clouds
38,Saint-Francois,FR,46.4154,3.9054,76.44,65,20,6.91,few clouds
39,Quatre Cocos,MU,-20.2078,57.7625,73.09,70,25,15.64,scattered clouds
40,Khatanga,RU,71.9667,102.5,31.82,93,100,6.78,overcast clouds
41,Qui Nhon,VN,13.7667,109.2333,79.05,82,100,6.67,overcast clouds
42,Lambarene,GA,-0.7001,10.2406,76.68,87,88,3.71,overcast clouds
43,Ixtapa,MX,20.7,-105.2,79.83,69,0,12.66,clear sky
44,Mnogovershinnyy,RU,53.9353,139.9242,29.59,91,100,1.59,overcast clouds
45,Albany,US,42.6001,-73.9662,90.91,49,86,1.01,overcast clouds
46,Arsk,RU,56.0915,49.8778,31.68,78,63,5.39,broken clouds
47,Changping,CN,40.2186,116.2197,69.44,37,100,4.27,overcast clouds
48,Saint George,US,37.1041,-113.5841,84.79,10,0,5.01,clear sky
49,Port Alfred,ZA,-33.5906,26.891,60.37,79,60,4.07,broken clouds
50,Hambantota,LK,6.1241,81.1185,79.43,85,81,15.97,broken clouds
51,Bambous Virieux,MU,-20.3428,57.7575,73.22,69,20,15.05,few clouds
52,Kahului,US,20.8947,-156.47,82.42,51,40,10.0,scattered clouds
53,Piacabucu,BR,-10.4056,-36.4344,79.68,67,0,11.61,clear sky
54,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,66,20,9.75,few clouds
55,Nur,PL,52.6683,22.3221,48.2,95,100,9.42,overcast clouds
56,Gold Coast,AU,-28.0,153.4333,62.91,96,100,8.05,light intensity shower rain
57,Longkou,CN,37.6508,120.3286,66.02,61,100,12.5,overcast clouds
58,Barrow,US,71.2906,-156.7887,21.22,93,100,9.22,overcast clouds
59,Thunder Bay,CA,48.4001,-89.3168,50.09,46,100,5.23,overcast clouds
60,Cayenne,GF,4.9333,-52.3333,81.09,1,75,4.61,moderate rain
61,Durazno,UY,-33.4131,-56.5006,64.47,55,18,6.64,few clouds
62,Pisco,PE,-13.7,-76.2167,66.25,77,75,11.5,mist
63,Varhaug,NO,58.6147,5.6457,57.47,83,100,14.09,overcast clouds
64,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,57.81,90,99,3.11,overcast clouds
65,Deputatskiy,RU,69.3,139.9,27.28,94,84,3.36,broken clouds
66,Punta Arenas,CL,-53.15,-70.9167,41.11,65,75,11.5,broken clouds
67,Sabzevar,IR,36.2126,57.6819,66.22,32,21,13.6,few clouds
68,Kapaa,US,22.0752,-159.319,79.12,83,100,12.66,overcast clouds
69,Mindelo,CV,16.8901,-24.9804,74.75,64,20,21.85,few clouds
70,Upernavik,GL,72.7868,-56.1549,32.61,100,100,6.2,snow
71,Bandarbeyla,SO,9.4942,50.8122,80.69,86,30,16.53,scattered clouds
72,Butaritari,KI,3.0707,172.7902,81.34,79,59,10.8,light rain
73,Airai,TL,-8.9266,125.4092,58.64,90,50,3.58,scattered clouds
74,Yulara,AU,-25.2406,130.9889,56.73,43,100,8.34,overcast clouds
75,New Norfolk,AU,-42.7826,147.0587,49.91,83,74,2.37,broken clouds
76,Huanuco,PE,-9.9329,-76.2415,74.41,61,47,9.42,scattered clouds
77,Pangoa,PE,-12.1167,-73.0,80.65,56,70,4.41,broken clouds
78,Lorengau,PG,-2.0226,147.2712,82.9,70,90,11.56,overcast clouds
79,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,90,74,4.7,light rain
80,Acapulco,MX,16.8634,-99.8901,84.02,65,100,9.22,overcast clouds
81,Celestun,MX,20.8667,-90.4,89.06,66,52,11.5,broken clouds
82,Banda Aceh,ID,5.5577,95.3222,81.0,79,100,13.56,overcast clouds
83,Torrington,US,41.8007,-73.1212,92.79,49,62,3.0,broken clouds
84,Lucapa,AO,-8.4192,20.7447,76.44,43,100,1.54,overcast clouds
85,San Rafael,AR,-34.6177,-68.3301,73.36,16,49,12.19,scattered clouds
86,Kokopo,PG,-4.352,152.2633,76.06,75,73,3.44,broken clouds
87,Jamestown,US,42.097,-79.2353,57.52,97,100,13.8,mist
88,Beloha,MG,-25.1667,45.05,65.77,84,4,6.89,clear sky
89,Clyde River,CA,70.4692,-68.5914,19.63,93,100,32.21,snow
90,Alice Springs,AU,-23.7,133.8833,45.95,71,44,0.0,scattered clouds
91,Port Lincoln,AU,-34.7333,135.8667,61.61,78,100,10.04,overcast clouds
92,Talnakh,RU,69.4865,88.3972,33.21,100,100,2.08,overcast clouds
93,Naze,JP,28.3667,129.4833,66.83,72,100,2.8,light rain
94,Moindou,NC,-21.6924,165.677,74.91,85,26,5.86,scattered clouds
95,Bestobe,KZ,52.4994,73.0975,48.52,51,0,14.29,clear sky
96,Touros,BR,-5.1989,-35.4608,79.3,85,24,13.62,few clouds
97,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,broken clouds
98,Vardo,NO,70.3705,31.1107,37.38,93,75,14.97,broken clouds
99,Falmouth,GB,50.1544,-5.0711,58.1,87,86,8.25,overcast clouds
100,Thinadhoo,MV,0.5333,72.9333,83.86,75,79,11.81,broken clouds
101,Balabac,PH,7.9868,117.0645,81.32,77,100,7.11,overcast clouds
102,The Pas,CA,53.8251,-101.2541,66.22,19,20,20.71,few clouds
103,Onega,RU,63.9061,38.1404,32.5,79,28,9.19,scattered clouds
104,Narasannapeta,IN,18.4167,84.05,84.27,74,5,3.71,clear sky
